日期,city,frequency
2017年12月,新北市,0.152649759
2017年12月,台北市,0.154659929
2017年12月,桃園市,0.094696922
2017年12月,台中市,0.128524598
2017年12月,台南市,0.077301838
2017年12月,高雄市,0.113497419
2017年12月,宜蘭縣,0.017256051
2017年12月,新竹縣,0.02266691
2017年12月,苗栗縣,0.016784535
2017年12月,彰化縣,0.048763191
2017年12月,南投縣,0.019125269
2017年12月,雲林縣,0.025912929
2017年12月,嘉義縣,0.017171232
2017年12月,屏東縣,0.036334361
2017年12月,台東縣,0.008422108
2017年12月,花蓮縣,0.013739308
2017年12月,基隆市,0.013353887
2017年12月,新竹市,0.022160994
2017年12月,嘉義市,0.011361775
2017年12月,澎湖縣,0.003050698
2017年12月,金門縣,0.002112975
2017年12月,連江縣,0.000453314
2017年12月,合計,1
2017年11月,新北市,0.159140532
2017年11月,台北市,0.156052848
2017年11月,桃園市,0.083237477
2017年11月,台中市,0.129617849
2017年11月,台南市,0.075901086
2017年11月,高雄市,0.124574423
2017年11月,宜蘭縣,0.017290466
2017年11月,新竹縣,0.019922794
2017年11月,苗栗縣,0.018793661
2017年11月,彰化縣,0.046646358
2017年11月,南投縣,0.015331949
2017年11月,雲林縣,0.026659786
2017年11月,嘉義縣,0.017905023
2017年11月,屏東縣,0.035711527
2017年11月,台東縣,0.007526324
2017年11月,花蓮縣,0.013028699
2017年11月,基隆市,0.011829419
2017年11月,新竹市,0.022834017
2017年11月,嘉義市,0.011508997
2017年11月,澎湖縣,0.003573419
2017年11月,金門縣,0.002501268
2017年11月,連江縣,0.000412078
2017年11月,合計,1
2017年10月,新北市,0.161908956
2017年10月,台北市,0.158028217
2017年10月,桃園市,0.095823863
2017年10月,台中市,0.125414721
2017年10月,台南市,0.077129377
2017年10月,高雄市,0.108363289
2017年10月,宜蘭縣,0.017545326
2017年10月,新竹縣,0.023218551
2017年10月,苗栗縣,0.017397288
2017年10月,彰化縣,0.047945189
2017年10月,南投縣,0.01716941
2017年10月,雲林縣,0.025426027
2017年10月,嘉義縣,0.016708222
2017年10月,屏東縣,0.03270094
2017年10月,台東縣,0.007951953
2017年10月,花蓮縣,0.01337309
2017年10月,基隆市,0.013749175
2017年10月,新竹市,0.023008763
2017年10月,嘉義市,0.011300955
2017年10月,澎湖縣,0.003155658
2017年10月,金門縣,0.002210403
2017年10月,連江縣,0.000470628
2017年10月,合計,1
2017年09月,新北市,0.169037787
2017年09月,台北市,0.166235048
2017年09月,桃園市,0.086684619
2017年09月,台中市,0.123990943
2017年09月,台南市,0.071342402
2017年09月,高雄市,0.117110224
2017年09月,宜蘭縣,0.018283557
2017年09月,新竹縣,0.020491034
2017年09月,苗栗縣,0.019137777
2017年09月,彰化縣,0.044876629
2017年09月,南投縣,0.013937493
2017年09月,雲林縣,0.02492636
2017年09月,嘉義縣,0.016668404
2017年09月,屏東縣,0.032496098
2017年09月,台東縣,0.00740019
2017年09月,花蓮縣,0.01311884
2017年09月,基隆市,0.012735326
2017年09月,新竹市,0.023686422
2017年09月,嘉義市,0.010990903
2017年09月,澎湖縣,0.003759186
2017年09月,金門縣,0.002625885
2017年09月,連江縣,0.000464873
2017年09月,合計,1
2017年08月,新北市,0.161145303
2017年08月,台北市,0.165253121
2017年08月,桃園市,0.096861833
2017年08月,台中市,0.122151628
2017年08月,台南市,0.075256053
2017年08月,高雄市,0.10807523
2017年08月,宜蘭縣,0.017947134
2017年08月,新竹縣,0.023159711
2017年08月,苗栗縣,0.017305856
2017年08月,彰化縣,0.046748494
2017年08月,南投縣,0.016572737
2017年08月,雲林縣,0.024513411
2017年08月,嘉義縣,0.016092535
2017年08月,屏東縣,0.032661205
2017年08月,台東縣,0.008304969
2017年08月,花蓮縣,0.013618194
2017年08月,基隆市,0.013909772
2017年08月,新竹市,0.023337792
2017年08月,嘉義市,0.011049465
2017年08月,澎湖縣,0.003301476
2017年08月,金門縣,0.002236817
2017年08月,連江縣,0.000497264
2017年08月,合計,1
2017年07月,新北市,0.15657043
2017年07月,台北市,0.164521426
2017年07月,桃園市,0.083855522
2017年07月,台中市,0.125735633
2017年07月,台南市,0.075625563
2017年07月,高雄市,0.124888252
2017年07月,宜蘭縣,0.017424919
2017年07月,新竹縣,0.019710967
2017年07月,苗栗縣,0.018554346
2017年07月,彰化縣,0.045104967
2017年07月,南投縣,0.014441397
2017年07月,雲林縣,0.025959268
2017年07月,嘉義縣,0.017374865
2017年07月,屏東縣,0.035832579
2017年07月,台東縣,0.007688383
2017年07月,花蓮縣,0.013047522
2017年07月,基隆市,0.011915451
2017年07月,新竹市,0.023409076
2017年07月,嘉義市,0.011428605
2017年07月,澎湖縣,0.003914684
2017年07月,金門縣,0.002535243
2017年07月,連江縣,0.000460902
2017年07月,合計,1
2017年06月,新北市,0.148116014
2017年06月,台北市,0.161733653
2017年06月,桃園市,0.092410117
2017年06月,台中市,0.126427293
2017年06月,台南市,0.079904888
2017年06月,高雄市,0.115366644
2017年06月,宜蘭縣,0.016613035
2017年06月,新竹縣,0.021907206
2017年06月,苗栗縣,0.016676425
2017年06月,彰化縣,0.047547388
2017年06月,南投縣,0.017956252
2017年06月,雲林縣,0.026761047
2017年06月,嘉義縣,0.017785321
2017年06月,屏東縣,0.036008255
2017年06月,台東縣,0.008223844
2017年06月,花蓮縣,0.013472239
2017年06月,基隆市,0.012614387
2017年06月,新竹市,0.022870612
2017年06月,嘉義市,0.011645292
2017年06月,澎湖縣,0.003318387
2017年06月,金門縣,0.002183782
2017年06月,連江縣,0.000457919
2017年06月,合計,1
2017年05月,新北市,0.151785376
2017年05月,台北市,0.162255339
2017年05月,桃園市,0.086273916
2017年05月,台中市,0.127422218
2017年05月,台南市,0.075735181
2017年05月,高雄市,0.12361149
2017年05月,宜蘭縣,0.017092792
2017年05月,新竹縣,0.019641746
2017年05月,苗栗縣,0.017389976
2017年05月,彰化縣,0.046057408
2017年05月,南投縣,0.015859033
2017年05月,雲林縣,0.027228712
2017年05月,嘉義縣,0.018285695
2017年05月,屏東縣,0.037188829
2017年05月,台東縣,0.007758013
2017年05月,花蓮縣,0.01327718
2017年05月,基隆市,0.011754528
2017年05月,新竹市,0.023118868
2017年05月,嘉義市,0.011619666
2017年05月,澎湖縣,0.003693914
2017年05月,金門縣,0.002502352
2017年05月,連江縣,0.000447767
2017年05月,合計,1
2017年04月,新北市,0.151135354
2017年04月,台北市,0.157062704
2017年04月,桃園市,0.096841787
2017年04月,台中市,0.126382437
2017年04月,台南市,0.076955705
2017年04月,高雄市,0.11008138
2017年04月,宜蘭縣,0.017377233
2017年04月,新竹縣,0.022422482
2017年04月,苗栗縣,0.01707992
2017年04月,彰化縣,0.048757535
2017年04月,南投縣,0.01904563
2017年04月,雲林縣,0.027042819
2017年04月,嘉義縣,0.018036246
2017年04月,屏東縣,0.036025199
2017年04月,台東縣,0.008377281
2017年04月,花蓮縣,0.013910297
2017年04月,基隆市,0.013403003
2017年04月,新竹市,0.022870154
2017年04月,嘉義市,0.011364323
2017年04月,澎湖縣,0.00313653
2017年04月,金門縣,0.002204272
2017年04月,連江縣,0.00048771
2017年04月,合計,1
2017年03月,新北市,0.154028927
2017年03月,台北市,0.159866171
2017年03月,桃園市,0.08829532
2017年03月,台中市,0.126152085
2017年03月,台南市,0.074164928
2017年03月,高雄市,0.119666348
2017年03月,宜蘭縣,0.017817386
2017年03月,新竹縣,0.020418361
2017年03月,苗栗縣,0.018684504
2017年03月,彰化縣,0.047099131
2017年03月,南投縣,0.016560608
2017年03月,雲林縣,0.027217966
2017年03月,嘉義縣,0.018496672
2017年03月,屏東縣,0.036754265
2017年03月,台東縣,0.007906779
2017年03月,花蓮縣,0.013609704
2017年03月,基隆市,0.012179306
2017年03月,新竹市,0.02317099
2017年03月,嘉義市,0.011334632
2017年03月,澎湖縣,0.003529977
2017年03月,金門縣,0.002579735
2017年03月,連江縣,0.000466207
2017年03月,合計,1
2017年02月,新北市,0.154214203
2017年02月,台北市,0.153300579
2017年02月,桃園市,0.096657457
2017年02月,台中市,0.12559882
2017年02月,台南市,0.07698393
2017年02月,高雄市,0.109210273
2017年02月,宜蘭縣,0.017943364
2017年02月,新竹縣,0.0227846
2017年02月,苗栗縣,0.017137786
2017年02月,彰化縣,0.04917579
2017年02月,南投縣,0.019656123
2017年02月,雲林縣,0.026546449
2017年02月,嘉義縣,0.017990763
2017年02月,屏東縣,0.036812668
2017年02月,台東縣,0.008603777
2017年02月,花蓮縣,0.014217533
2017年02月,基隆市,0.013706651
2017年02月,新竹市,0.022179908
2017年02月,嘉義市,0.011434485
2017年02月,澎湖縣,0.003037472
2017年02月,金門縣,0.002177083
2017年02月,連江縣,0.000630288
2017年02月,合計,1
2017年01月,新北市,0.155317616
2017年01月,台北市,0.160230048
2017年01月,桃園市,0.086268562
2017年01月,台中市,0.128147275
2017年01月,台南市,0.074331489
2017年01月,高雄市,0.121826509
2017年01月,宜蘭縣,0.017579289
2017年01月,新竹縣,0.020076883
2017年01月,苗栗縣,0.018439079
2017年01月,彰化縣,0.046844818
2017年01月,南投縣,0.016583273
2017年01月,雲林縣,0.02575214
2017年01月,嘉義縣,0.017784755
2017年01月,屏東縣,0.037351241
2017年01月,台東縣,0.007807861
2017年01月,花蓮縣,0.013444576
2017年01月,基隆市,0.01198812
2017年01月,新竹市,0.022207412
2017年01月,嘉義市,0.011344282
2017年01月,澎湖縣,0.003507639
2017年01月,金門縣,0.002516381
2017年01月,連江縣,0.000650752
2017年01月,合計,1
